LON	        LAT	        NOM
2.376111031	15.931388855	Ménaka camp
-0.472777784	15.523611069	NATILLIT
-3.983888865	15.931666374	NIAFUNKE
-3.444722176	16.544166565	Niambourgou
-3.075833321	16.883054733	Nibkit jima
2.402777672	15.908333778	Nils Christian
-0.032222223	16.298055649	Njawa
-3.011944532	16.783889771	Nord
-3.009166718	16.786388397	Nord
-0.233611107	19.347499847	Nord campement
0.262800008	17.165300369	Nord de l'oued
-3.599444389	16.904443741	Nord du site
2.521389008	16.973611832	Nord du site
1.866667032	19.559440613	Nord du site
0.263900012	16.486900330	Nord est du site
-3.289999962	16.480833054	Nord Est site
-2.693055630	16.743888855	Nord marché
-3.525000095	16.514165878	Nord mosquée
0.397500008	16.255277634	Nord Oued
-2.644444466	16.721666336	Nord ouest
-3.562777758	16.489444733	Nord ouest site
-3.624722242	16.786666870	Nord ouest village
0.116899997	16.584999084	Nord site
1.332499981	18.599449158	Nord école
-2.805277824	15.801111221	Nord village
-3.891666651	16.317499161	N'TOUMANAN
0.722222209	15.184444427	Ouatagouna
-2.989166737	16.713333130	Ouest
0.903333306	17.709440231	Ouest de l'oued
0.129722223	16.614999771	Ouest du FP1
-3.125555515	16.570278168	Ouest du village
-3.015833378	16.779443741	Ouest du village
0.120277777	16.611389160	Ouest du village
-2.825000048	15.799444199	Ouest village
-2.692500114	15.974166870	Ourou Goudjiré
-0.202500001	18.161666870	P3 bis
-4.000555515	15.923610687	PDZL II (cité)
-2.856388807	16.732221603	Perimetre
-0.660555542	15.516111374	Peulguelgobé
2.535832882	19.853059769	pied colline
0.014444444	16.845832825	Pied de la dune
0.130833328	15.995277405	Pres centre sante
-0.023888890	16.264444351	Pres de la Douane
-0.945555568	17.136943817	Pres du jardin
-0.037222221	16.295555115	Pres du medersa
2.412777662	16.174165726	Près CSCOM
-3.608611107	16.443056107	Près jardins
-2.746944427	16.710556030	Près mosquée
0.321944445	17.845832825	Près mosquée
2.394444466	15.908888817	PSMZAM
-3.045277834	16.665832520	Périmètre agricole
-3.063333273	16.660833359	Périmètre agricole
1.411110997	18.431390762	QUARTIER ALIOU
-3.983611107	15.931944847	Quartier du fleuve
-4.460000038	16.596944809	RAZ-EL-MA
1.403610945	18.437500000	RESID COMMDAN
-3.525000095	18.904167175	RS
-2.995277882	17.054445267	RS 3
-2.996944427	17.059165955	RS4
-0.042222220	16.275554657	Rue 220 X207
-3.695277691	15.826389313	S Cycle
-3.660555601	16.415555954	SANT
-0.075000003	16.351943970	Seiname
-3.001666784	16.751943588	SF EST
-3.332499981	16.366945267	SIDI AMAR
-3.331388950	16.366388321	SIDI AMAR
-0.104722224	16.251943588	Sidibé
0.663055539	15.053610802	SIRIDANE
-5.043889046	15.625000000	SIRIKE
-5.018610954	16.419721603	SITE
0.502222240	15.667778015	Siège PRODECA
2.401388884	15.909444809	SNV
-4.324444294	15.844721794	SOUMPI
-3.056388855	16.663610458	Sourougou Sarey
-3.670000076	16.396110535	Station de pompage
-3.009444475	16.756666183	Station de pompage
-3.008888960	16.756666183	Station de pompage
-0.017222222	16.326110840	Station de recherche
0.500000000	15.678610802	Sud Ecole
0.179444447	16.535278320	Sud Ecole
0.532222211	16.227500916	Sud Est du village
2.585556030	17.632499695	Sud est du village
-4.882222176	15.767777443	Sud est site
-3.779444456	16.723333359	Sud est village
2.588332891	17.636390686	Sud jardin
-3.620277882	16.424444199	Sud mairie
-4.050277710	16.560277939	SUD Village
0.133333340	17.357221603	Sud village
0.108333334	15.963610649	Sur la dune
3.202500105	15.936388969	Tabankort
-3.075277805	16.811109543	Tabarachatt
-0.263888896	16.715278625	Tabaye
0.073611110	16.152778625	Tacharane
0.070555553	16.151945114	Tacharane
0.070555553	16.139165878	Tacharane - Premier Cycle
0.070833333	16.155555725	Tacharane - Second Cycle
0.072222233	16.150833130	Tacherane
-0.257499993	15.515832901	Tafadiadiati
-0.094166666	17.912500381	Tafaliste
2.703055620	15.439167023	Tagalatte
0.983888865	15.767222404	Tagarangabott
2.921111107	15.408888817	Talouma
-4.041666508	16.683055878	Tama
-3.890000105	16.318056107	Tamachkoïte
0.870555580	16.221666336	Tamkoutat   F2
0.878611088	16.221666336	Tamkoutat   F3
-0.551666677	15.417778015	TANALA
3.916110992	15.711944580	Tankadémi
0.528055549	15.656110764	Targada
0.114166670	17.476667404	TARKINT
-2.736111164	15.988611221	Tassawak
-3.117000103	16.716999054	TASSISKARANE
0.062777780	16.184165955	Tchintchinomé
-1.149166703	15.069444656	Teberemt
-3.056388855	16.766944885	Techak
0.130277783	16.617221832	Tegueriou
-3.022500038	16.768888474	TEINTURERIE
1.514166713	16.532777786	Telataï
1.512500048	16.530834198	Telataï
1.512777805	16.531110764	Telataï
1.116667032	20.376939774	Teriste
1.006667018	20.190000534	TESSALIT VILLE
2.515555620	16.181943893	Tessat
0.698611140	15.159166336	Thiopie
0.127222225	16.014722824	Tianame
